,name,stars,review,price,note,open_time,restautant_type,address
0,People's Committee of Trung Lap Upper Commune,4.8,(12),None,[],[],Local government office,3F23+F39
1,Xã Trung lập thượng- Huyện Củ Chi,4.6,(5),None,[],[],Housing society,06 Đường 708
2,Quán chòi xéo,4.7,(6),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,"3F42+MGH, Unnamed Road"
3,Trung Lap Thuong Primary School,4.2,(10),None,[],['Open 24 hours'],School,499Trung Lập
4,Trạm Y Tế Xã Trung Lập Thượng,4.5,(2),None,[],[],Community health centre,83 Trung Lập
5,Quán 6 cua,4.4,(7),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,"XJGR+J6G, Unnamed Road"
6,Nhà của Mr.Thái,None,None,None,['Dine-in'],[],Jewish,HL6
7,Thanh Mân,None,None,None,['Dine-in'],[],Restaurant,1937 TL8
8,Quán Ăn Tràm Chim,3.8,(353),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,49 Hà Duy Phiên
9,Nhà Hàng Rạch Dứa,4.5,(65),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Family-friendly,53/4 Đường 181
10,Bếp ăn tình thương,None,None,None,"['Dine-in', 'Takeout']",[],Vegetarian,"149, Đường Bình Mỹ/tổ 8 ấp 8"
11,Quán Ăn Sáu Cua,3.0,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,"XJFV+P4G, TL8"
12,Nhà Hàng Bờ Sông Bình Mỹ( Lan Anh Villa),4.0,(21),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9:30\u202fAM Fri']",Restaurant,Đường 264 Hà Duy Phiên
13,Hội Quán Chào Mào Bình Mỹ,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Restaurant,"WJC2+VQQ, Võ Văn Bích"
14,Quán Nghệ sĩ,4.3,(23),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,"XJ4W+C32, Đ. Số 173"
15,thanh nhi,None,None,None,['Dine-in'],['Open 24 hours'],Buffet,XJFP+8FW
16,Quán Ăn Tình Cờ,4.5,(2),None,"['Dine-in', 'Takeout']",[],Restaurant,269 Võ Văn Bích
17,Làng sinh thai Binh My,3.2,(12),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 7:30\u202fAM Fri']",Restaurant,"XJ6X+X9H, Unnamed Road"
18,Phở An Bình,4.2,(64),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Bistro,"WJVW+PMJ, TL9"
19,Nồi Hâm Buffet - Dụng Cụ Buffet Tại Hồ Chí Minh,5.0,(2),None,['Dine-in'],"['Closed', ' ⋅ Opens 7:30\u202fAM Fri']",Restaurant,12B Đường 152
20,Quán Ăn Bờ Sông,4.3,(69),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,XJ5X+FR5
21,Phở Danh,5.0,(2),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fAM Fri']",Pho,118A TL9
22,Quán Thỏ Hoà Phú,None,None,None,"['Dine-in', 'Takeout']",[],Family-friendly,1478 TL8
23,Nhà hàng hoa giấy,5.0,(1),None,"['Dine-in', 'Takeout']",['Open 24 hours'],Restaurant,XJGH+29J
24,Hai Châu Bình Mỹ,4.3,(79),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,8/1 Đường 162 Ấp 5
25,Anh Kiệt Quán,3.9,(16),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8\u202fAM Fri']",Restaurant,XJFG+RHM
26,Lẩu bò Thầy Chương,5.0,(1),None,"['Dine-in', 'Takeout']",[],Restaurant,WJQP+X26
27,LẨU BÒ TÈO HAI,3.7,(6),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 8:30\u202fAM Fri']",Restaurant,"số 7, tỉnh lộ 9, Ấp 4"
28,Quán Ăn Bình Mỹ,None,None,None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Restaurant,38 Đường Bình Mỹ
29,DÊ TƯƠI HOA LƯ,4.5,(47),None,"['Dine-in', 'Drive-through', 'No-contact delivery']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,57 Hà Duy Phiên
30,Ốc Hân 79,4.5,(10),None,"['Dine-in', 'Curbside pickup', 'Delivery']","['Closed', ' ⋅ Opens 3:30\u202fPM Fri']",Bistro,276
31,"Cháo Lòng , Bún Riêu Bình Dân",5.0,(3),None,"['Dine-in', 'Takeout']",[],Restaurant,Vo Thuong cafe
32,Hoa viên Vườn Mai,4.5,(6),None,['Dine-in'],"['Closed', ' ⋅ Opens 7\u202fAM Fri']",Restaurant,"XJGH+MJP, Unnamed Road"
